17:42:27.969720 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969722 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969724 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969732 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.969799 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.969826 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.969845 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.969867 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.969885 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.970024 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.970032 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 260
17:42:27.970035 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.970036 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.970039 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.970067 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.970090 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.970111 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.970131 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 48
17:42:27.970161 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 53
17:42:27.972161 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972177 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972179 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972181 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972183 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972185 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972187 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972189 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972206 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972208 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972209 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972211 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972213 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.972301 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.972439 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.972723 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.972807 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.972851 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.972884 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973089 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973128 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973165 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973238 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973279 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973310 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973412 IP magody-pc.42051 > 162.159.138.232.443: UDP, length 49
17:42:27.973818 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973833 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973835 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973837 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973839 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973841 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973843 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973845 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
17:42:27.973854 IP 162.159.138.232.443 > magody-pc.42051: UDP, length 1200
